target;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado
;2;44813;0;38;1;1;0;1;;12;1;1;39;1;1
;2;44876;0;25;1;5;0;1;25430;1;4;5;;0;1
;2;44914;0;24;1;2;0;1;;11;1;1;44;1;1
;2;44907;0;10;1;1;0;1;;19;1;1;64;1;1
;2;44959;0;30;1;2;0;1;;1;1;1;9;1;1
;2;44959;0;14;1;1;0;1;25307;1;3;4;1;0;
;2;44848;0;15;1;1;1;1;;5;1;1;70;1;1
;2;44812;0;25;2;2;0;1;;1;1;1;15;1;1
;2;44818;0;25;2;5;0;1;;18;1;1;35;1;1
;2;44875;0;7;1;1;0;1;5266;6;3;4;1;0;
;2;44876;0;32;1;1;0;1;;6;1;1;15;1;1
;2;44876;0;25;1;1;0;1;;1;1;1;15;1;1
;2;44896;0;25;1;2;0;1;;1;1;1;45;1;1
;2;44876;0;23;1;5;0;1;;6;1;1;75;1;1
;2;44852;0;10;1;1;0;1;;9;1;1;23;1;1
;2;44803;0;30;1;5;0;1;47001;1;4;5;;0;1
;2;44876;0;36;1;5;0;1;11001;11;4;5;;0;1
;2;44945;0;38;1;1;0;1;;12;1;1;12;1;1
;2;44790;0;25;2;1;0;1;;6;1;1;15;1;1
;2;44874;0;25;2;2;0;1;;1;1;1;6;1;1
;2;44874;0;23;2;2;0;1;;1;1;1;6;1;1
;2;44910;0;25;1;5;0;1;;6;1;1;23;1;1
;2;44936;0;38;1;1;0;1;;12;1;1;56;1;1
;2;44966;0;14;1;1;0;1;11001;1;3;4;1;0;
;2;44844;0;18;1;1;0;1;25754;5;1;2;83;0;1
;2;44760;0;15;1;1;1;1;;31;1;1;11;1;1
;2;44944;0;6;1;1;0;1;;12;1;1;6;1;1
;2;44798;0;7;2;1;0;1;;18;1;1;56;1;1
;2;44873;0;36;1;2;0;1;;6;1;1;26;1;1
;2;44873;0;25;1;2;0;1;;1;1;1;24;1;1
;2;44904;0;8;1;1;0;1;;3;1;1;24;1;1
;2;44888;0;7;2;1;0;1;;6;1;1;20;1;1
;2;44888;0;25;2;1;0;1;;17;1;1;39;1;1
;2;44951;0;38;1;1;0;1;;12;1;1;26;1;1
;2;44887;0;23;1;2;0;1;;1;1;1;16;1;1
;2;44733;0;32;2;5;0;1;11001;28;4;5;;0;1
;2;44950;0;38;1;1;0;1;;12;1;1;17;1;1
;2;44894;0;7;2;1;0;1;;6;1;1;6;1;1
;2;44937;0;25;2;2;0;1;;1;1;1;7;1;1
