No_Radicacion;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado;Grupotrabajo;Salarioprom;Target;salariosMin
2023_1482474_2;2;45000;0;30;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;15
2023_1403583_2;2;44987;0;30;1;5;0;1;66001;6;4;5;;0;1;1;;MANUAL;15
2023_2282222_2;2;44998;0;25;2;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;16
2023_633728_2;2;45012;0;25;2;5;0;1;50001;1;4;5;;0;1;1;;MANUAL;16
2022_12736694_2;2;45001;0;25;2;5;0;1;97001;1;4;5;;0;1;1;;MANUAL;16
2022_18837767_2;2;45012;0;25;1;5;0;1;54001;6;4;5;;0;1;1;;MANUAL;16
2023_207783_2;2;44992;0;25;2;5;0;1;54405;1;4;5;;0;1;1;;MANUAL;16
2022_17587318_2;2;45013;0;25;2;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;16
2022_18523696_2;2;45012;0;32;1;5;0;1;11001;11;4;5;;0;1;1;;MANUAL;16
2023_738509_2;2;45008;0;26;1;5;0;1;15176;1;4;5;;0;1;1;;MANUAL;17
2023_73342_2;2;44999;0;25;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;17
2022_18107021;2;44902;0;15;1;1;1;1;;32;1;1;17;1;1;2;;MANUAL;17
2023_248632_2;2;45002;0;30;1;5;0;1;11001;6;4;5;;0;1;1;;MANUAL;17
2023_1448331_2;2;45016;0;21;1;5;0;1;11001;11;4;5;;0;1;1;;MANUAL;17
2023_3735938;2;44994;0;21;1;2;0;1;;11;1;1;40;1;1;2;;MANUAL;17
2023_523262_2;2;45013;0;25;1;5;0;1;5001;6;4;5;;0;1;1;;MANUAL;18
2023_1070063_2;2;45006;0;30;1;5;0;1;73001;17;4;5;;0;1;1;;MANUAL;18
2022_12006179_2;2;44991;0;35;1;5;0;1;41001;1;4;5;;0;1;3;;MANUAL;18
2023_432812_2;2;44992;0;32;1;5;0;1;73001;11;4;5;;0;1;1;;MANUAL;18
2023_1075011_2;2;45007;0;36;1;5;0;1;8001;11;4;5;;0;1;1;;MANUAL;18
2023_1324154_2;2;45002;0;36;1;5;0;1;68547;6;4;5;;0;1;1;;MANUAL;19
2023_700501;2;44942;0;15;1;1;1;1;;5;1;1;70;1;1;2;;MANUAL;19
2022_16467565_2;2;44999;0;25;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;19
